feature,importance
returns,0.03280133434933857
spread_proxy,0.03227363158831865
dist_to_high_168h,0.029255098961193077
dist_to_high_24h,0.027234505467746667
spread_vol_regime,0.02431518018802952
vol_persistence,0.02363812018997572
imbalance_trend,0.023575768482326297
liquidity_trend,0.02147457788135991
high_dist_flow,0.021380250236143376
round_10k_dist,0.019363307899343256
vol_chaos_combo,0.019336457608507728
vol_accel_regime,0.019062764229808803
round_number_dist,0.018867027518122016
round_5k_dist,0.018668858990651675
amihud_illiquidity,0.018610272709973945
dist_to_low_168h,0.018216379517449276
amihud_illiquidity_24h,0.018159080536468832
spread_regime,0.017998940761016755
imbalance_momentum,0.017799551765150624
volatility_acceleration,0.01739102777418923
volume_weighted_returns,0.017223116284117657
chaos_indicator,0.016843930047558072
roll_spread,0.016809079999892756
cumulative_order_flow,0.016124602522409104
round_5k_imbalance,0.015815937203565066
dist_to_low_24h,0.015780351614783673
returns_skew_168h,0.01574549149684468
price_efficiency,0.015152551955083733
parkinson_vol,0.014985859378189042
order_imbalance_ma,0.014827916144440978
round_level_flow,0.014554847887220808
momentum_scale_ratio,0.014429870321423306
flow_vol_ratio,0.014381125962659756
fractal_dimension,0.014219509973792992
spread_trend_strength,0.014152587487334518
momentum_vol_ratio,0.0139442889474393
returns_kurtosis_168h,0.01360999538045383
adx_proxy,0.01322705571294466
returns_kurtosis_24h,0.01315165503181445
hurst_48h,0.013124550461785506
returns_vol_adjusted,0.013043358658613023
trend_strength,0.012976841104441653
volatility_lag2,0.012567473258390784
kurtosis_change,0.012152762990106227
volume_imbalance_ma,0.01205046651188413
trend_vol_adjusted,0.011777964687193478
chaos_trend,0.011710599187668662
fractal_vol_regime,0.011686056696097314
timestamp,0.011236486906910155
buy_sell_ratio,0.010912997801689816
volatility,0.010748770745584571
returns_skew_24h,0.010147821764600466
regime_duration,0.00972141592614515
volatility_percentile,0.009626405545156248
low_dist_buying,0.00908237585123079
sell_volume_proxy,0.008952762336169647
volume_imbalance,0.008754796746746174
volatility_lag1,0.007996579947686702
intensity_spread_ratio,0.007947974451155108
buy_volume_proxy,0.007434740809325493
trade_intensity,0.0071003433879120725
volume,0.0070916566426550195
ema_26,0.0052601900307644965
sell_pressure,0.004718345047527466
buy_pressure,0.004705817605525259
order_imbalance,0.004428190048365523
open,0.004042114605766889
ema_12,0.003591820928805306
low,0.0035288672223499633
high,0.0032050005799906973
close,0.003131509248234536
volatility_regime,0.0005989475787442954
regime_trending,0.0003182522750070628
regime_ranging,0.00017681544182755898
regime_volatile,4.701696086045722e-05
Stock Splits,0.0
Dividends,0.0
