time,open,high,low,close,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1417392000,300,398,300,340,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,-34.9999991774257,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,NaN,5,NaN,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1420070400,360,360,109.87,218.45,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,-15.503012786489142,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,18.049065037436336,5,18.049065037436336,10,-26.09813007487267,NaN,NaN,NaN,0,NaN,NaN
1422748800,218.67,267.86,210,255.59,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,12.236484784561037,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,19.396680427410608,5,19.396680427410608,10,28.793360854821213,NaN,NaN,0,NaN,NaN,NaN
1425168000,255.73,299.48,234.51,245.5,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,0,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,16.153637711634133,5,16.153637711634133,10,-22.307275423268266,NaN,NaN,NaN,0,NaN,NaN
1427846400,245.5,263,215.56,236.81,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,15.194836572892896,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,14.036888232643205,5,14.036888232643205,10,-18.07377646528641,NaN,NaN,NaN,0,NaN,NaN
1430438400,236.78,247.6,228.38,230.21,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,-38.877328406926104,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,20.607546915423825,5,20.607546915423825,10,-31.215093830847653,NaN,NaN,NaN,0,NaN,NaN
1433116800,230.18,269.39,221.58,263.82,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,82.9969591254092,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,31.171651676776133,5,31.171651676776133,10,52.343303353552265,NaN,NaN,0,NaN,NaN,NaN
1435708800,263.83,316.52,252.77,285.19,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,55.563741494794826,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,14.310421718016613,5,14.310421718016613,10,18.620843436033226,NaN,NaN,0,NaN,NaN,NaN
1438387200,285.2,286.47,198.02,230.75,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,-10.420464677224386,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,21.52105928083202,5,21.52105928083202,10,-33.04211856166404,NaN,NaN,NaN,0,NaN,NaN
1441065600,230.76,247.82,224.45,237.14,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,16.087056727592767,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,9.29849193615555,5,9.29849193615555,10,8.5969838723111,NaN,NaN,NaN,NaN,NaN,NaN
1443657600,237.1,336.97,236.9,314.85,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,31.237142261007612,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,28.602698531101694,5,28.602698531101694,10,47.205397062203396,NaN,NaN,0,NaN,NaN,NaN
1446336000,314.84,499.99,293.32,376.86,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,76.9944896662311,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,NaN,NaN,NaN,0,5,0,5,5,10.068331852130392,5,10.068331852130392,10,10.136663704260783,NaN,NaN,NaN,NaN,NaN,NaN
1448928000,376.88,469.34,347.55,430.35,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,72.01784434982801,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,1.918873510503585,0.7717479134840448,NaN,0,5,0,5,5,18.19704785094681,5,18.19704785094681,10,26.394095701893615,42.954964086192,NaN,0,NaN,NaN,NaN
1451606400,430.35,464.4,350.92,367.95,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,22.312055794013073,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,1.8135412973352312,0.9716319539859354,NaN,0,5,0,5,5,26.89241749029182,5,26.89241749029182,10,-43.78483498058364,31.095098678467668,NaN,NaN,0,NaN,NaN
1454284800,367.89,448.7,361.1,436.44,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,42.7566132358424,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.0221640134393954,1.0272181464869439,NaN,0,5,0,5,5,28.444949900987666,5,28.444949900987666,10,46.88989980197533,32.66653980690717,NaN,0,NaN,NaN,NaN
1456790400,436.41,437.78,381.09,416.03,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,37.973923248410024,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,1.9668138843036544,0.9998569341788773,NaN,0,5,0,5,5,7.547595060911009,5,7.547595060911009,10,-5.095190121822018,32.44960239047825,NaN,NaN,NaN,NaN,NaN
1459468800,416.03,472.38,414.12,454.02,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,7.23265699439947,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.079699050244635,0.8525652532272588,NaN,0,5,0,5,5,23.630921189614757,5,23.630921189614757,10,37.26184237922951,41.80333273835861,36.13065694117032,0,NaN,NaN,NaN
1462060800,454.02,549.99,435,531.34,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,34.631567036381796,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.367773707635773,0.7111407488408275,NaN,0,5,0,5,5,28.688137674609603,5,28.688137674609603,10,47.376275349219206,53.099751215996086,41.76593816647544,0,NaN,NaN,NaN
1464739200,531.25,785.15,497.01,673.49,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0,0,NaN,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,55.245456299509144,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.637943057587921,0.5621913967243372,NaN,0,5,0,5,5,19.056617275445518,5,19.056617275445518,10,28.113234550891036,64.60229810389622,50.559082545760326,0,NaN,NaN,NaN
1467331200,673.5,705.25,608,626.97,622.0800777253082,358.588,95.09592227469176,0,0,NaN,NaN,NaN,0,0,337.3070371695355,NaN,0,0,358.588,NaN,0,0,NaN,2,-2,NaN,NaN,NaN,NaN,0,0,0,NaN,NaN,-14.120381538366928,0,0,NaN,0,NaN,NaN,NaN,0,0,0,0,0,2.528026762298214,2.7211618380110316,NaN,0,35,0,35,35,52.89764038701314,35,52.89764038701314,70,-35.795280774026274,16.220222010588405,40.99105493224737,NaN,NaN,NaN,NaN
