time,open,high,low,close,Fast MA,Slow MA,ADX & +DI > -DI,ADX & +DI < -DI,BB Upper,BB Basis,BB Lower,Long Expansion,Short Expansion,LinReg,UpperBand,LowerBand,Long,Short,GMA fast,GMA slow,Bullish cross,Bearish cross,Plot,Final Newton value,Long Expansion,Short Expansion,Compression Score,Overbought z (eff),Oversold z (eff),z20,z50,z100,z200,Composite Z (smoothed),Long setup,Short setup,Dyn OB,Dyn OS,QAO,Buy,Sell,QVI Osc,Zero,Upper Band,Lower Band,VWMA spread (z by default),Buy,Sell,Climax Up,Climax Down,Churn,Bulls,Bears,Bias / Sentiment,Volume Band (Open),Volume Band (High,Volume Band (Low),Volume Band (Close),Price Band (Open),Price Band (High,Price Band (Low),Price Band (Close),Normalized Vol,Normalized Price,RROF Smooth,Signal Line,EoM +ve,EoM -ve,Compression +ve,Compression -ve
1756900800,111463.72,112547.31,111048.8,112239.48,NaN,NaN,0,0,112288.7905821477,109826.43849999967,107364.08641785163,0,0,108285.77124380157,112712.13517436458,103859.40731323857,0,0,109819.54464984474,110190.11090014699,0,0,110365.77673874264,110365.7767387472,0,0,66.87050378810181,2.0145656043677476,-2.0145656043677476,2.1505795122025364,2.2948888085573502,1.4850629553172574,0.524487253882203,0.9136806073706862,0,0,43.7292610013694,-74.40580943242627,71.44618819845121,0,0,0.8594328848567292,0,0.9025042889634287,-0.9025042889634287,2.0027827651232357,0,0,0,0,0,24.607230829385603,6.713879808183108,36.253179597264,0,50,0,50,50,85.02823180096067,50,85.02823180096067,100,70.05646360192135,56.13379918148877,49.38261359352421,NaN,NaN,NaN,NaN
1756915200,112239.47,112600,111685.22,112240.18,NaN,NaN,0,0,112600.34428601518,110019.4389999997,107438.5337139842,0,0,108342.77867768606,112863.87953833927,103821.67781703285,0,0,110011.87456430162,110237.0367141341,0,0,110544.29133505287,110544.29133505287,0,0,65.72691856071758,2.0001992705780194,-2.0001992705780194,1.9539646765017855,2.1938251918373277,1.4815649863679612,0.5451949644780582,1.0466056195994742,0,0,47.89065284750382,-72.83001347544142,62.87282578164466,0,0,1.0822703887373566,0,0.9054766846202442,-0.9054766846202442,1.821988982027825,0,0,0,0,1,26.16290767909494,5.344099472998735,41.42198007662372,0,50,0,50,50,57.921847936409584,50,57.921847936409584,100,15.843695872819167,65.74468922984573,54.91710123638098,NaN,NaN,0,NaN
1756929600,112236.76,112308.14,111657.87,111756.41,NaN,NaN,0,0,112790.34846289846,110167.09749999968,107543.84653710091,0,0,108392.78277548206,112984.22427975258,103801.34127121154,0,0,110159.28176599354,110278.8547575252,0,0,110659.73120790497,110659.731207905,0,0,64.21762594702545,1.9793252049816263,-1.9793252049816263,1.442156523536576,1.8009298155250748,1.2187044187888185,0.36413673943811564,1.0387757598537015,0,0,47.89065284750382,-67.78469836572721,37.422048212352244,0,1,1.010721468916183,0,0.9090597206577327,-0.9090597206577327,1.3870121280007126,0,0,0,0,0,24.732830420066037,7.9196999394340395,37.85039180218691,0,30,0,30,30,66.1659906815137,30,66.1659906815137,60,-72.3319813630274,51.87775513330987,54.95729359804241,NaN,0,NaN,NaN
1756944000,111756.4,112235.6,111165.07,111182.13,NaN,NaN,0,0,112874.20474989784,110279.57299999967,107684.9412501015,0,0,108438.32074517904,113072.43969828475,103804.20179207332,0,0,110271.92288162251,110279.98321136464,0,0,110709.4834738188,110709.4834738188,0,0,62.942146306846055,1.9773272007651443,-1.9773272007651443,0.9317727899637199,1.3915820062905564,0.9210925250202793,0.14565877497406596,0.9279974920963482,0,0,47.89065284750382,-67.78469836572721,7.258610090917838,0,0,0.7997097063362799,0,0.9113874599141761,-0.9113874599141761,0.9282032065291194,0,0,0,0,0,20.93166484187316,12.979353845167347,28.519188351305882,0,30,0,30,30,68.14262622913469,30,68.14262622913469,60,-76.28525245826937,24.686746566370687,45.674837037545544,NaN,0,NaN,NaN
1756958400,111182.13,111363.9,110308.92,110486.94,NaN,NaN,0,0,112813.31624990316,110391.52249999969,107969.72875009621,0,0,108463.59905922864,113122.87320817965,103804.32491027763,0,0,110384.8599496847,110254.16530967405,1,0,110688.28885726462,110688.28886713777,0,0,62.40857315342303,1.9764029489394148,-1.9764029489394148,0.3916998857823295,0.9273665538741821,0.5554853957387246,-0.13156289418758532,0.7297330758646008,0,0,47.89065284750382,-67.78469836572721,-23.730851977634714,0,0,0.5632133611682941,0,0.9129808683100189,-0.9129808683100189,0.3891127992397885,0,0,0,0,0,16.826705826232672,19.01896425736631,17.829035738116808,0,30,0,30,30,65.81252901839642,30,65.81252901839642,60,-71.62505803679285,-5.2992031957134955,27.70049422186834,NaN,NaN,NaN,NaN
1756972800,110486.94,111178.6,110436.74,110844.24,NaN,NaN,0,0,112624.32335685786,110551.39999999967,108478.47664314149,0,0,108504.60881404972,113196.88827122134,103812.3293568781,0,0,110546.53473756199,110242.6152012169,0,0,110703.14134704894,110703.14134704894,0,0,65.26678657671151,1.9544323610855696,-1.9544323610855696,0.6581238786344173,1.1716661665087518,0.8027300018397169,0.060446532187531175,0.6732630607381593,0,0,47.89065284750382,-67.78469836572721,0.8201453358091859,0,0,0.38216176067329494,0,0.913633841164781,-0.913633841164781,0.4902270117179461,0,0,0,0,0,14.871779335937584,20.553868727802477,13.954743702216703,0,25,0,25,25,42.78117151011118,25,42.78117151011118,50,35.56234302022235,-15.92963191221201,9.514364456777567,NaN,NaN,NaN,NaN
1756987200,110844.25,111158.5,109321,109505.32,NaN,NaN,0,0,112620.39605394632,110554.98649999968,108489.57694605304,0,0,108475.74876033049,113184.7729165435,103766.72460411748,0,0,110550.15658491521,110217.953549194,0,0,110589.06312352046,110228.33559984362,0,0,67.11255995502242,1.9946845754900657,-1.9946845754900657,-0.3230634494743244,0.28251885124519077,0.036124707434556674,-0.5274441128591434,0.3862034584336682,0,0,47.89065284750382,-62.915218802783656,-54.01000517618405,0,0,0.23367216160985124,0,0.9132259228947254,-0.9132259228947254,-0.41614148892793656,0,0,0,0,0,12.643118139702144,26.796625578426756,4.8416799901411025,0,50,0,50,50,92.08649056349482,50,92.08649056349482,100,-84.17298112698963,-34.24222727931934,-9.971735024435597,NaN,NaN,NaN,NaN
1757001600,109508.92,110225.8,109338,109808.31,NaN,NaN,0,0,112538.47504032106,110606.75699999966,108675.03895967826,0,0,108454.60084848487,113184.65588694741,103724.54581002233,0,0,110602.53652608678,110187.75848217242,0,0,110514.70568318518,110198.04159999991,0,0,70.01461331084454,1.980510930889432,-1.980510930889432,-0.03157320388442055,0.509730702638303,0.25023531774305074,-0.3586774467061999,0.2644672454198026,0,0,47.89065284750382,-61.493308469722564,-31.004461290329495,0,0,0.2256363670114327,0,0.9122671576888317,-0.9122671576888317,-0.23279277417941646,0,0,0,0,0,12.124533428530667,28.290975951191342,1.1691864708020223,0,45,0,45,45,55.766834949343405,45,55.766834949343405,90,21.53366989868681,-39.180165035584366,-24.43801932379277,NaN,NaN,0,NaN
1757016000,109807.39,111756.36,109750,110720.79,NaN,NaN,0,0,112445.6122087533,110703.38699999967,108961.16179124604,0,0,108473.78662672186,113243.0739703855,103704.49928305822,0,0,110699.95855991483,110161.89636052384,0,0,110534.33276097706,110534.33276097706,0,0,70.2156399887556,2.007412880985107,-2.007412880985107,0.6742035737072903,1.1228630419218706,0.823286672439815,0.09602805998487218,0.3671184152320614,0,0,47.89065284750382,-60.20588539453706,22.615520522312018,0,0,0.1685428535506467,0,0.9102486095398389,-0.9102486095398389,0.3561446198758735,0,0,0,0,0,13.196093011701336,26.944085806394778,1.7331595536312985,0,30,0,30,30,54.53212634530922,30,54.53212634530922,60,49.064252690618446,-33.87654265284319,-31.06590148430993,NaN,NaN,NaN,NaN
1757030400,110714.48,111497.21,110441.63,111313.82,NaN,NaN,0,0,112427.63228305253,110808.39299999966,109189.15371694679,0,0,108516.86796143257,113338.03989914994,103695.6960237152,0,0,110805.4333623394,110146.80476638323,0,0,110608.56964088402,110608.56964088402,0,0,71.04531999437779,1.9947671244598872,-1.9947671244598872,1.0730936879753612,1.4884372599524316,1.192637418843301,0.4034326980602301,0.5514710550334321,0,0,47.89065284750382,-60.20588539453706,44.4092487777026,0,0,-0.07298910413618488,0,0.9071516933239693,-0.9071516933239693,0.7183229230425402,0,0,0,0,0,15.467626913692849,22.93782639722117,6.311039966102773,0,25,0,25,25,56.456273212404184,25,56.456273212404184,50,62.91254642480836,-19.126725649650513,-28.872958695815274,0,NaN,NaN,NaN
